model,G-Bp,G-Rp,Bp-Rp
ckmod11900_0.0_4.00.dat,0.14714437530776792,-0.3347588437936011,-0.481903219101369
ckmod13600_0.0_2.50.dat,0.16531486673115126,-0.35654588252528896,-0.5218607492564402
ckmod15000_0.0_3.50.dat,0.17964979217605048,-0.39169444527966846,-0.5713442374557189
ckmod15400_0.0_4.00.dat,0.18203703419993644,-0.3986771831609275,-0.5807142173608639
ckmod18700_0.0_4.00.dat,0.20657280256008903,-0.4469848684690234,-0.6535576710291124
ckmod25400_0.0_4.00.dat,0.2408001158108135,-0.5148965780953034,-0.7556966939061169
ckmod26000_0.0_3.00.dat,0.2425953541526411,-0.50513596813623,-0.7477313222888711
ckmod29000_0.0_3.50.dat,0.2553045846827757,-0.5402182468242529,-0.7955228315070286
ckmod30000_0.0_4.00.dat,0.25870032989517,-0.5526491654164971,-0.8113494953116671
ckmod31884_0.0_4.00.dat,0.2632679867996188,-0.5609456800390902,-0.824213666838709
ckmod32882_0.0_4.00.dat,0.2647386760922785,-0.562970959385666,-0.8277096354779445
ckmod33879_0.0_4.00.dat,0.2657307663779207,-0.5638464002264527,-0.8295771666043734
ckmod34877_0.0_4.00.dat,0.26645655247432387,-0.5642070083576556,-0.8306635608319795
ckmod3500_0.0_5.00.dat,-1.0039064928382118,0.8048994607016411,1.8088059535398529
ckmod3580_0.0_4.50.dat,-0.9545378748292705,0.7838931209335485,1.738430995762819
ckmod35874_0.0_4.00.dat,0.2671330645493555,-0.5646889092293463,-0.8318219737787018
ckmod36872_0.0_4.00.dat,0.26784942655153543,-0.5656020612287378,-0.8334514877802732
ckmod37870_0.0_4.00.dat,0.268646303230895,-0.5669837031663434,-0.8356300063972384
ckmod3800_0.0_1.50.dat,-0.7934059826741162,0.6888945259190393,1.4823005085931555
ckmod3850_0.0_4.50.dat,-0.7697466243739726,0.6821928945698232,1.4519395189437958
ckmod38867_0.0_4.00.dat,0.26943299294946144,-0.5684773480532286,-0.83791034100269
ckmod3950_0.0_1.50.dat,-0.6919655373730862,0.624645988489327,1.3166115258624131
ckmod4060_0.0_4.50.dat,-0.658512729327903,0.6094733484932817,1.2679860778211847
ckmod4350_0.0_4.50.dat,-0.5347851200517226,0.5198727117528961,1.0546578318046187
ckmod4420_0.0_1.00.dat,-0.5073882021670002,0.4928530735758585,1.0002412757428587
ckmod4560_0.0_4.50.dat,-0.46849161439850917,0.4680848491051677,0.9365764635036768
ckmod4750_0.0_2.00.dat,-0.4189069587807168,0.4239729386238764,0.8428798974045932
ckmod4780_0.0_4.50.dat,-0.409831748348779,0.4195287351838104,0.8293604835325894
ckmod4850_0.0_1.00.dat,-0.40283308002501883,0.40828003340038777,0.8111131134254066
ckmod5150_0.0_2.50.dat,-0.32801394715835386,0.3449354295728,0.6729493767311538
ckmod5250_0.0_4.50.dat,-0.30980291237621316,0.32886022985874064,0.6386631422349538
ckmod5550_0.0_1.50.dat,-0.2546581912450563,0.2716144568927916,0.5262726481378479
ckmod5570_0.0_4.50.dat,-0.25263228698356954,0.2723631955606507,0.5249954825442202
ckmod5770_0.0_4.50.dat,-0.2219653164459885,0.24011244120191577,0.46207775764790426
ckmod5850_0.0_3.00.dat,-0.20284236734945438,0.21825111619572368,0.42109348354517806
ckmod5860_0.0_4.50.dat,-0.20761149245636545,0.22453624440589692,0.4321477368622624
ckmod6030_0.0_4.50.dat,-0.1842916600334732,0.1983216752078718,0.382613335241345
ckmod6200_0.0_4.50.dat,-0.16149426367351083,0.17163752291075696,0.3331317865842678
ckmod6440_0.0_4.50.dat,-0.13181505936814375,0.13501666256818368,0.2668317219363274
ckmod6890_0.0_4.50.dat,-0.08254966693177579,0.06848095127516984,0.15103061820694563
ckmod6900_0.0_1.50.dat,-0.03476311137410448,-0.0029337027215703415,0.03182940865253414
ckmod7200_0.0_4.50.dat,-0.05310607465141004,0.024625366318659303,0.07773144097006934
ckmod7700_0.0_1.50.dat,0.04511206631414666,-0.13408969050727393,-0.1792017568214206
ckmod8200_0.0_4.50.dat,0.027920101045332046,-0.11294120529279894,-0.140861306338131
ckmod8270_0.0_4.00.dat,0.04472512717834576,-0.14273895639085765,-0.1874640835692034
ckmod8510_0.0_2.00.dat,0.08481101915518252,-0.208282313915646,-0.2930933330708285
ckmod9230_0.0_4.00.dat,0.09399283297686623,-0.2355692319337379,-0.32956206491060414
ckmod9520_0.0_4.00.dat,0.10349814826368231,-0.25375283716385155,-0.35725098542753386
ckmod9730_0.0_2.00.dat,0.11030897796831596,-0.25373158513932026,-0.3640405631076362
