lam_min  lam_max  lam_c
5885.384  5885.628  5885.519
5887.013  5889.566  5888.303
5893.029  5893.526  5893.256
5893.806  5894.199  5894.006
5899.555  5899.970  5899.771
5900.457  5900.788  5900.629
5901.351  5901.827  5901.620
5902.875  5903.313  5903.073
5910.493  5910.784  5910.634
5911.998  5912.677  5912.293
5914.386  5914.756  5914.584
5915.600  5916.037  5915.809
5916.367  5917.406  5916.912
5919.867  5920.275  5920.075
5920.508  5920.828  5920.663
5921.100  5921.498  5921.269
5925.684  5926.092  5925.894
5929.679  5930.077  5929.912
5933.582  5933.951  5933.740
5934.252  5934.572  5934.397
5941.917  5942.267  5942.098
5942.461  5942.946  5942.711
5943.121  5943.461  5943.265
5943.830  5944.491  5944.143
5945.670  5947.884  5946.901
5948.302  5948.865  5948.594
5950.612  5951.642  5951.082
5956.433  5956.821  5956.607
5959.288  5960.501  5959.846
6277.848  6287.767  6281.727
6289.205  6289.852  6289.534
6290.678  6292.295  6291.512
6293.589  6294.991  6294.283
6296.644  6298.010  6297.306
6299.878  6301.280  6300.598
6303.329  6304.838  6304.113
6307.276  6308.660  6307.958
6311.292  6312.709  6312.011
6315.645  6317.264  6316.484
6320.250  6321.580  6320.900
6325.070  6326.580  6325.800
6473.992  6475.166  6474.568
6476.613  6477.788  6477.238
6480.737  6482.103  6481.517
6484.698  6485.954  6485.326
6488.412  6488.712  6488.551
6490.706  6491.116  6490.929
6492.317  6492.836  6492.583
6494.475  6494.912  6494.695
6497.425  6497.889  6497.661
6499.063  6499.637  6499.349
6510.206  6510.509  6510.393
6513.543  6514.244  6513.916
6516.228  6516.765  6516.505
6517.419  6517.839  6517.633
6518.096  6518.609  6518.366
6518.726  6519.053  6518.881
6519.613  6519.963  6519.812
6521.014  6521.504  6521.273
6868.713  6882.348  6874.286
6885.302  6886.136  6885.721
6887.173  6889.157  6888.182
6890.306  6892.290  6891.329
6893.755  6895.693  6894.750
6897.497  6899.345  6898.348
6901.318  6903.309  6902.344
6905.611  6907.407  6906.469
6910.021  6911.817  6910.895
6914.705  6916.344  6915.603
6919.662  6921.340  6920.542
6924.814  6926.414  6925.638
6930.278  6931.956  6931.130
6935.196  6937.538  6936.475
6939.351  6940.335  6939.784
6941.302  6944.528  6942.818
